id,Peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Protein ID,Log2 enrichment,Log10,T-test Significant,Test statistic,Sample_1_Control,Sample_2_Control,Sample_3_Control,Patient_1,Patient_2,Patient_3
1201,6,6,22.7,52.645,0,21.8,95689000,20,427,2.37705,1.12629,,2.68443,21.7235,19.3494,22.9019,22.9668,22.8718,22.8718
1357,7,7,10.8,107.14,0,33.235,105610000,18,548,2.3737,0.977153,,2.29572,21.5042,18.9063,22.831,22.0176,22.8883,22.8883
1282,8,8,44.6,32.668,0,15.777,97023000,16,866,2.37093,1.31541,+,3.22577,21.4368,19.8393,23.4596,22.3569,23.2104,23.2104
1214,12,12,24.1,81.307,0,43.418,239490000,41,351,2.3248,1.06978,,2.53357,21.019,22.9016,25.0772,23.4903,24.2877,24.2877
1643,9,9,31.1,38.89,0,46.317,351820000,32,758,2.32127,0.999887,,2.35308,21.2988,23.6521,25.2208,24.1027,25.0665,25.0665
1182,7,7,49.4,17.031,0,80.139,206640000,36,962,2.31333,1.49933,+,3.81542,21.3999,22.253,24.7166,23.3716,24.3311,24.3311
1943,7,7,42.4,24.67,0,19.588,363630000,28,349,2.29217,1.57091,+,4.06442,21.6968,21.5119,23.0653,24.526,24.0984,24.0984
545,7,7,30.3,28.05,0,24.115,165890000,30,208,2.25416,1.46903,+,3.71346,21.5495,21.3199,24.4975,22.885,23.684,23.684
1067,9,9,34.5,49.973,0,72.947,161350000,33,201,2.21863,1.72194,+,4.63059,21.0344,22.0073,24.0625,23.2644,23.8915,23.8915
1362,15,15,47.1,52.385,0,117.22,299660000,46,757,2.21719,1.54844,+,3.98499,22.4859,22.6347,25.3846,23.9493,24.9986,24.9986
1149,22,22,51.7,59.75,0,254.72,2049000000,161,848,2.21529,1.58936,+,4.13054,25.4754,24.7872,27.8807,26.649,27.5101,27.5101
2080,7,7,41.1,27.335,0,82.577,243540000,28,195,2.18981,0.910406,,2.13085,22.4648,21.98,25.3616,22.8576,25.0175,25.0175
1069,23,23,40.8,72.932,0,215.17,877240000,99,879,2.18804,1.29416,,3.1619,23.4359,24.1722,26.7176,25.0535,26.2052,26.2052
253,3,3,62.9,7.8891,0.0010817,2.6105,73286000,7,649,2.16933,0.841988,,1.96688,21.7245,19.0932,23.2884,21.9396,22.5067,22.5067
1655,8,8,44,29.999,0,87.999,239310000,33,105,2.13274,1.18353,,2.84207,21.3529,22.855,24.9304,23.5921,24.1877,24.1877
635,16,16,27.5,93.998,0,48.011,304590000,67,843,2.12088,2.35831,+,7.80238,22.5932,22.7034,25.1259,24.405,24.7767,24.7767
1635,6,6,34.6,25.2,0,24.625,179700000,26,993,2.11285,0.973732,,2.28714,20.8236,22.5436,24.6583,22.8763,23.8546,23.8546
1687,10,2,18.1,44.348,0,25.008,585450000,24,373,2.10012,1.55821,+,4.01938,23.9708,23.4009,26.4507,25.1729,25.7343,25.7343
1368,8,8,23,49.222,0,13.637,190710000,26,761,2.09738,1.18961,,2.85911,21.3715,22.627,24.5938,23.2242,24.4718,24.4718
1567,15,15,32.6,74.267,0,93.585,369660000,70,1035,2.07398,1.31139,+,3.2136,22.1847,23.3684,25.3784,24.1502,25.023,25.023
1620,16,16,28.1,92.888,0,185.96,303810000,66,1025,2.03746,1.28662,,3.13942,22.0009,23.1334,25.0172,23.8417,24.955,24.955
1322,10,10,23.5,76.715,0,62.715,136110000,31,263,2.03571,1.56373,+,4.03893,20.9835,21.9111,23.9073,22.9435,23.5982,23.5982
216,2,2,13.8,18.512,0,5.0895,973890000,14,316,2.03368,0.384655,,0.949477,21.1123,26.6683,25.1485,26.6109,26.0125,26.0125
443,5,5,16.1,63.566,0,43.306,81111000,19,713,2.03096,0.915708,,2.14376,21.895,19.6989,23.3033,22.0999,23.0805,23.0805
215,11,11,21.8,83.053,0,112.62,192780000,50,367,2.02568,1.30846,+,3.20479,21.4595,22.7682,24.5185,23.5219,24.378,24.378
1216,21,19,35.2,94.33,0,323.31,745130000,86,615,2.01983,1.46022,+,3.6842,23.5596,24.1565,26.4194,25.1255,26.0889,26.0889
2113,6,6,30.9,37.804,0,30.11,84522000,17,565,2.00409,1.03431,,2.44116,21.7427,19.9581,23.427,22.1546,22.9819,22.9819
16,9,9,20.3,70.905,0,58.879,183970000,37,166,1.99849,1.75894,+,4.77839,21.6458,21.9196,24.0856,23.153,24.105,24.105
1145,10,10,32.6,45.199,0,97.616,170590000,38,352,1.98616,1.61509,+,4.22412,22.1235,21.8303,24.5917,23.3657,23.9318,23.9318
1255,16,16,30.4,83.165,0,142.45,337080000,58,542,1.97457,1.38752,+,3.44882,22.2796,23.3543,25.277,24.196,24.9016,24.9016
1025,6,3,21.2,39.455,0,35.875,211290000,36,857,1.97043,1.34945,+,3.32984,21.9378,21.6116,24.5647,23.0191,23.6516,23.6516
898,4,4,39.8,18.491,0,9.423,87080000,13,186,1.96885,1.47432,+,3.7311,21.4948,20.4013,23.3395,22.4442,22.967,22.967
1978,6,6,24.2,33.232,0,56.287,96453000,22,876,1.95661,1.28858,,3.14525,21.0152,21.458,23.9473,22.3459,23.2864,23.2864
805,15,15,20.3,123.38,0,192.85,217540000,52,663,1.952,1.86159,+,5.2089,22.0117,22.3108,24.5079,23.5789,24.253,24.253
866,16,16,49.3,66.193,0,111.07,494400000,81,383,1.94482,1.61127,+,4.21013,23.1618,23.7923,25.8495,24.824,25.5921,25.5921
867,10,10,25,60.13,0,25.744,175150000,37,678,1.92868,1.40816,+,3.51457,21.3531,21.9979,24.1841,22.8831,23.7453,23.7453
830,6,6,62.9,19.901,0,47.999,185170000,28,223,1.92337,1.08562,,2.57539,22.1465,21.8592,24.9295,22.9467,23.9024,23.9024
201,10,10,41.4,45.143,0,60.274,193750000,42,923,1.92227,0.894844,,2.09313,20.7801,23.1245,24.1711,23.4467,24.0058,24.0058
1024,11,11,27.2,69.284,0,131.12,139080000,32,449,1.89213,1.38281,+,3.43396,21.1876,22.0907,24.0449,22.894,23.6549,23.6549
1881,4,4,29.2,29.965,0,8.7587,105460000,17,82,1.89107,2.1398,+,6.54606,21.6022,21.221,23.607,22.9398,23.3612,23.3612
333,6,6,44.6,11.333,0,39.381,562660000,48,629,1.88263,1.15372,,2.75935,23.5822,23.8361,26.3585,24.5913,25.8255,25.8255
1829,5,5,19.5,35.964,0,14.184,99228000,18,634,1.8816,0.935872,,2.19315,22.0294,19.9714,23.4448,22.432,22.7692,22.7692
1199,11,11,36.5,44.877,0,27.742,197440000,34,326,1.87468,1.10269,,2.62087,22.4578,20.8701,23.8031,23.8946,22.9183,22.9183
719,8,8,54.8,20.457,0,55.928,238410000,44,969,1.8649,0.785755,,1.83548,21.088,23.5342,24.7543,23.5531,24.2207,24.2207
1186,9,9,43.4,31.387,0,121.52,250550000,40,929,1.8601,1.14488,,2.73509,21.9198,22.6992,24.9999,23.35,24.1588,24.1588
958,24,24,68.2,38.714,0,323.31,2350700000,155,1029,1.84522,1.40987,+,3.52003,26.1311,25.1184,27.7533,26.9063,27.7502,27.7502
941,12,12,39.5,47.517,0,64.464,374220000,58,824,1.84301,1.51675,+,3.87495,23.1975,22.9711,25.3675,24.2081,25.2062,25.2062
1196,17,9,47.4,50.582,0,59.558,137940000,30,489,1.83452,1.04097,,2.45838,21.2337,22.142,24.172,22.505,23.89,23.89
224,12,12,23,87.819,0,57.987,209740000,45,593,1.83417,1.29995,,3.17921,21.9805,22.5738,24.9005,23.507,23.9264,23.9264
1047,12,12,28.7,59.256,0,104.06,252290000,33,637,1.82067,1.24803,,3.02601,21.6539,22.6835,24.5964,23.3539,24.0178,24.0178
1366,10,10,16.4,87.088,0,38.418,150990000,31,241,1.81221,1.19489,,2.87397,21.1067,22.4229,24.0211,22.988,23.722,23.722
837,22,12,31,104.85,0,126.41,553940000,85,680,1.79401,1.39813,+,3.4825,23.5118,23.7716,26.0469,24.7051,25.5553,25.5553
1014,6,6,57,14.716,0,52.045,358930000,46,42,1.78241,1.53813,+,3.94895,23.3142,22.4387,24.8024,24.1876,24.9867,24.9867
526,13,13,16.2,102.99,0,43.073,233810000,43,505,1.76622,1.11065,,2.64221,22.1461,22.2597,24.7172,22.9775,24.2127,24.2127
1589,20,5,54.7,50.432,0,49.368,148260000,23,327,1.76172,0.717883,,1.68037,22.8833,20.3308,23.8514,22.7091,23.5459,23.5459
1057,11,2,36.9,32.866,0,32.635,288920000,30,788,1.75864,1.33355,+,3.28094,22.8805,21.8645,24.6257,24.1589,23.6089,23.6089
988,18,17,58.7,36.638,0,259.54,3565700000,144,928,1.74604,1.44529,+,3.63495,26.3802,26.258,28.6129,27.3593,28.2231,28.2231
609,5,5,6.9,84.109,0,23.046,55221000,12,213,1.72402,0.752063,,1.75804,21.5732,19.0877,21.6797,21.9568,22.5269,22.5269
1198,11,11,34.7,43.66,0,26.823,433660000,49,271,1.72181,1.24221,,3.00911,23.9366,22.9011,25.5836,24.5019,25.3365,25.3365
997,48,32,55.1,84.659,0,323.31,16983000000,523,432,1.71645,1.49545,+,3.80225,28.8128,28.541,30.8423,29.7248,30.6129,30.6129
546,8,8,30.1,49.597,0,17.605,139340000,22,880,1.713,1.00074,,2.35525,20.7824,22.6761,23.5937,23.5626,23.1705,23.1705
942,27,27,71.9,44.614,0,323.31,6869400000,310,422,1.71068,1.28678,,3.13989,27.652,27.5405,29.9445,28.5124,29.4638,29.4638
1448,6,2,44.9,22.677,0,71.225,239490000,28,616,1.70939,0.963004,,2.26034,21.85,23.5989,24.947,23.9179,24.4366,24.4366
873,5,5,54.4,12.774,0,12.71,153050000,22,220,1.70391,1.17924,,2.83008,21.7733,22.3728,24.4866,22.9921,23.8521,23.8521
1904,5,5,54.5,13.941,0,17.289,129170000,27,869,1.70153,1.49403,+,3.79743,21.8031,21.5332,23.8159,22.7063,23.5868,23.5868
1883,5,5,55.2,17.328,0,118.68,148200000,24,140,1.69977,1.39051,+,3.45829,22.4299,21.6841,24.303,23.2153,23.7522,23.7522
1860,13,13,44.6,32.004,0,34.86,783780000,76,525,1.68642,1.62042,+,4.24371,23.3693,23.6591,24.6693,25.6933,25.2392,25.2392
532,3,3,27.9,15.598,0,47.416,72135000,13,199,1.68618,1.53957,+,3.95394,20.6386,21.2849,23.1649,22.5392,22.2396,22.2396
1125,12,12,61.1,30.772,0,323.31,654480000,83,1008,1.68389,1.5423,+,3.96347,23.8446,23.9288,26.201,25.0972,25.4135,25.4135
984,33,27,79.3,47.168,0,323.31,16160000000,358,749,1.68102,1.20582,,2.90486,28.9994,28.4551,31.0988,29.6494,30.4766,30.4766
1402,10,10,21.5,67.314,0,24.918,237700000,45,740,1.67783,1.30092,,3.18213,21.7932,23.1658,24.2845,23.9623,24.2253,24.2253
1249,9,9,35.9,36.426,0,72.196,430860000,41,475,1.67511,1.1965,,2.87852,23.3225,23.3727,25.7795,24.2207,25.0679,25.0679
2143,10,10,18,97.717,0,109.52,124360000,22,120,1.6685,1.05799,,2.50268,20.9586,22.6003,23.7232,23.0468,23.5739,23.5739
1068,50,49,65.9,95.337,0,323.31,9758800000,434,725,1.66821,1.3639,+,3.37467,28.3432,27.4604,29.9643,29.0145,29.7312,29.7312
1824,8,5,41,22.276,0,12.432,384250000,31,554,1.66812,1.77228,+,4.83262,23.2819,23.2215,25.3029,24.4066,25.0501,25.0501
1078,35,35,73.3,57.936,0,323.31,7321500000,332,890,1.66168,1.51507,+,3.86916,27.5219,27.3296,29.6015,28.4775,29.1834,29.1834
746,5,5,54,10.004,0,37.729,210280000,32,1032,1.65942,1.1014,,2.61741,22.8323,22.0216,24.8018,23.3099,24.1473,24.1473
985,18,18,26.8,93.133,0,87.188,282900000,55,80,1.65743,1.51178,+,3.8579,22.6966,22.9348,25.0154,23.8898,24.5142,24.5142
1267,7,7,60,23.239,0,41.601,1180200000,63,962,1.65003,0.988391,,2.32399,24.9916,24.8197,27.5249,25.629,26.513,26.513
1933,3,3,27.8,21.445,0,5.5609,112480000,10,888,1.64918,1.1325,,2.70129,21.051,22.0092,23.6387,22.4175,23.4816,23.4816
925,9,7,15.7,94.511,0,37.091,84637000,19,134,1.64377,0.817034,,1.90822,22.2734,20.2954,23.5393,22.3444,22.9007,22.9007
586,9,9,62.5,25.63,0,40.93,319140000,40,763,1.64356,1.04604,,2.47154,23.0987,23.0036,25.6074,23.8274,24.6493,24.6493
1458,12,12,71.5,18.012,0,92.289,8019600000,180,497,1.64243,1.20604,,2.90548,27.9243,27.4273,29.9557,28.5427,29.4562,29.4562
1370,14,14,21.9,107.78,0,323.31,305440000,46,636,1.64213,2.2362,+,7.07558,22.5865,22.9141,24.5854,24.0906,24.5014,24.5014
809,15,15,19.5,144.73,0,159.38,287170000,51,667,1.63711,1.24809,,3.02618,22.2829,23.0241,24.8864,23.6416,24.3438,24.3438
893,12,11,36.5,46.659,0,125.11,240060000,44,115,1.63545,1.54593,+,3.97619,22.2491,22.8153,24.5408,23.6348,24.3275,24.3275
994,12,12,91.4,15.054,0,167.19,3580900000,110,363,1.63525,1.13842,,2.71741,26.7003,26.202,28.7513,27.2458,28.2622,28.2622
659,9,6,50.8,19.997,0,148.48,600030000,54,414,1.62369,1.1694,,2.80268,24.0353,24.022,26.2483,24.7732,25.9355,25.9355
1240,5,5,12.8,64.735,0,20.313,93603000,21,391,1.62313,1.07845,,2.55642,20.7457,21.6168,23.3562,21.9739,23.0831,23.0831
1075,3,3,18.3,12.476,0,15.388,1687200000,47,389,1.62177,0.875195,,2.04587,25.5413,25.2384,27.9632,25.8808,27.1907,27.1907
754,3,3,42.9,9.5594,0,17.668,111780000,19,764,1.61767,1.115,,2.65392,21.838,21.3342,23.8778,22.3524,23.381,23.381
1410,9,9,72.5,10.932,0,30.906,2942800000,61,250,1.613,1.35331,+,3.34178,26.3799,26.0367,28.3146,27.1192,28.03,28.03
1037,7,7,40.3,28.226,0,20.067,336450000,26,193,1.60444,1.17678,,2.82323,23.7819,22.6691,25.3202,24.2823,24.8873,24.8873
2010,8,8,18.4,66.217,0,14.9,76563000,20,319,1.60422,1.06627,,2.52436,21.6123,20.0097,22.3802,22.7224,22.143,22.143
843,13,13,42.9,37.106,0,41.45,904540000,64,978,1.604,1.18618,,2.84951,24.1448,24.7508,26.614,25.2793,26.262,26.262
964,18,18,75.2,36.053,0,277.15,16581000000,310,94,1.59622,1.40145,+,3.49309,29.0704,28.3468,30.7404,29.7666,30.4074,30.4074
956,24,21,82.4,39.42,0,323.31,3615600000,190,702,1.59516,1.40792,+,3.5138,26.8603,26.367,28.6632,27.5876,28.3756,28.3756
1086,7,7,35.1,35.853,0,14.267,176130000,15,945,1.59453,0.822388,,1.92075,21.7895,22.5043,24.7833,22.674,23.767,23.767
104,17,17,47.3,63.146,0,323.31,1296700000,100,497,1.5936,1.36552,+,3.37973,25.3494,24.6913,26.9742,25.9927,26.8749,26.8749
1023,12,12,57,24.824,0,75.667,1494300000,100,976,1.58967,1.4833,+,3.76123,25.2587,25.0991,27.122,26.1212,27.0625,27.0625
1238,9,9,29.4,37.54,0,19.997,443510000,42,702,1.58797,0.963966,,2.26273,23.7002,23.2753,25.8415,24.0591,25.3264,25.3264
2101,9,9,31.7,38.242,0,20.326,228390000,37,620,1.58678,1.12476,,2.68028,23.1688,22.4481,25.0241,23.6287,24.5329,24.5329
939,12,12,63,32.118,0,62.032,205970000,53,569,1.58635,1.08503,,2.57384,22.2714,22.7503,24.9187,23.3396,24.0333,24.0333
734,10,10,22.6,60.192,0,41.736,437930000,58,781,1.58268,1.18325,,2.8413,23.4252,23.3667,25.6544,24.1769,25.1045,25.1045
1224,11,7,7.8,229,0,27.519,108530000,12,691,1.57788,0.805874,,1.88216,20.349,22.2274,23.2898,22.1559,23.1525,23.1525
67,2,2,31.1,5.1868,0,4.8675,127390000,11,939,1.57169,0.844351,,1.97246,21.65,22.1715,24.5873,22.5309,23.3292,23.3292
1374,6,6,62,19.863,0,34.223,83735000,20,660,1.56989,1.05446,,2.49344,20.7621,21.6313,23.2871,21.9393,23.0732,23.0732
1010,12,12,45.6,35.936,0,151.78,658470000,86,813,1.56395,1.20746,,2.90952,24.2905,23.8447,26.1931,24.8671,25.8344,25.8344
96,6,6,39.1,31.581,0,12.217,86450000,18,944,1.5597,1.12671,,2.68557,21.5044,21.4156,23.7322,22.1897,23.1371,23.1371
784,7,7,48.5,26.922,0,99.729,353550000,51,333,1.55955,1.29555,,3.16604,23.4937,23.2522,25.2965,24.1824,25.3187,25.3187
292,9,9,41.6,26.224,0,69.812,1280000000,73,975,1.55941,1.08988,,2.58671,25.2964,24.9147,27.4855,25.9189,26.5904,26.5904
1473,17,17,74.4,35.076,0,191.58,2189400000,142,77,1.54974,1.10539,,2.6281,26.0526,25.833,27.9548,26.5879,27.9349,27.9349
436,6,6,22.1,47.726,0,15.07,52622000,13,493,1.54736,0.654166,,1.53767,22.2836,19.5986,22.5609,22.3236,22.5809,22.5809
1377,7,7,25.6,56.157,0,104.48,83776000,26,49,1.54573,0.773159,,1.80642,21.5198,20.773,23.5354,21.4672,23.0737,23.0737
568,8,8,5.2,236.02,0,13.922,88030000,20,849,1.54405,1.51289,+,3.86171,20.6976,21.7577,22.7498,22.863,22.7022,22.7022
582,5,4,24,29.224,0,27.245,106380000,23,925,1.54346,1.15455,,2.76162,21.7621,21.9625,24.0579,22.5967,23.5627,23.5627
1001,46,26,57,83.263,0,323.31,10763000000,322,332,1.54165,1.20738,,2.90929,27.9838,27.8245,30.0895,28.69,29.5578,29.5578
1391,2,2,35.1,11.203,0,15.04,145140000,12,69,1.54113,0.92618,,2.16936,21.4437,22.5716,23.687,22.7207,24.2387,24.2387
1093,8,6,43.7,30.375,0,51.625,156820000,34,738,1.53812,0.690572,,1.61889,22.1699,21.7874,24.6914,22.1855,23.6734,23.6734
175,2,2,30,10.999,0,18.02,92342000,14,729,1.53423,1.0535,,2.49095,21.5038,21.3308,23.6425,22.0428,23.1693,23.1693
1625,32,32,49.3,106.87,0,247.05,1593900000,197,883,1.53159,1.38909,+,3.45382,25.4632,25.149,27.3313,26.2081,26.9738,26.9738
232,8,8,33.6,25.895,0,39.065,267890000,38,516,1.52728,0.895157,,2.09389,23.4028,22.2733,25.0403,23.4828,24.5728,24.5728
1101,12,12,45.3,46.247,0,85.439,417120000,59,6,1.52674,0.979635,,2.30195,23.9622,23.2943,25.8964,24.2666,25.302,25.302
1818,24,23,39.8,92.115,0,323.31,809130000,121,926,1.5254,1.25446,,3.04471,23.8794,24.7736,26.2753,25.2975,25.9829,25.9829
204,8,8,26.4,50.48,0,43.176,97700000,23,623,1.51789,0.869566,,2.0324,21.3548,21.5666,23.9215,21.9362,23.078,23.078
917,3,3,17.8,27.547,0,5.6242,41787000,9,251,1.51363,0.778972,,1.81981,21.1088,19.3944,22.5137,21.0905,21.6915,21.6915
1183,7,7,56.8,12.712,0,16.527,298090000,31,287,1.51245,0.977026,,2.2954,23.0011,23.0511,25.4492,23.6846,24.4817,24.4817
531,4,4,37.6,17.634,0,81.355,71593000,14,1012,1.51022,1.04993,,2.48164,21.0037,21.6385,23.649,22.1687,22.6762,22.6762
439,4,4,45.5,14.035,0,15.409,48975000,10,561,1.50512,0.873475,,2.04175,21.7771,19.8463,22.5608,22.2333,22.1564,22.1564
971,9,9,14.2,109.55,0,58.903,128330000,22,995,1.50491,1.70739,+,4.57349,21.9675,22.0273,23.8894,23.0231,23.5945,23.5945
562,5,5,11.9,56.374,0,13.156,52736000,14,697,1.49295,1.31601,+,3.22759,20.79,21.0098,23.0007,21.7792,22.3987,22.3987
335,7,7,13.8,81.673,0,24.206,76783000,19,861,1.48977,1.32941,+,3.2683,21.3654,21.1647,23.2888,22.1005,22.8752,22.8752
999,14,14,46,50.212,0,118.65,491990000,71,382,1.48754,1.05495,,2.49473,23.9825,23.2598,25.7934,24.3691,25.1636,25.1636
1115,5,5,19.5,33.824,0,11.736,79470000,21,734,1.48623,0.811978,,1.8964,22.0064,20.4081,23.2707,21.939,22.8707,22.8707
1911,4,4,20.9,25.125,0,24.313,113190000,20,479,1.48604,1.34364,+,3.31191,21.8643,21.1459,23.5198,22.5726,22.8812,22.8812
1107,22,22,29.2,116.72,0,146.87,467270000,79,72,1.48301,1.4707,+,3.71901,23.9173,23.3001,25.3276,24.5874,25.36,25.36
2,6,6,24.4,38.124,0,11.605,62050000,16,322,1.48183,0.940521,,2.2046,21.3777,19.9584,22.5963,21.5265,22.3268,22.3268
751,6,6,33.3,26.867,0,25.953,170180000,29,370,1.47755,1.31354,+,3.22011,22.7231,21.8238,24.146,23.309,23.7981,23.7981
1398,12,11,52.6,47.371,0,45.962,182340000,40,736,1.4761,1.64922,+,4.35079,22.3461,22.413,24.2199,23.3471,24,24
1531,21,21,59.3,51.804,0,309,1453400000,166,431,1.47382,1.1868,,2.85125,25.4306,25.161,27.3259,26.0112,26.9717,26.9717
1385,18,18,86.7,26.669,0,265,7865800000,200,97,1.47141,1.16673,,2.79529,28.2776,27.6276,30.0169,28.7677,29.4874,29.4874
